ID,Description
WO-1,The Radiator is leaking
WO-2,Water is leaking all over
WO-3,The Compressor is jammed
WO-4,The Compressor is not starting
WO-5,The Battery is dead
WO-6,Radiator is leaking and the battery needs to be replaced
WO-7,Radiator is vibrating and the Compressor has an issue.
WO-8,Compressor is jammed and the battery is dead
WO-9,"The Radiator is leaking, the Compressor is jammed and the battery is dead"
WO-10,"Water leaking all over the place, the Compressor is not starting and the battery needs replacement"
